"mileage","engineRPM","ignition","malfunction","speed","VIN","engineCoolantTemperature","fuelLevel","altitude","heading","nbSat","latitude","longitude","compassX","accelZ","accelY","accelX","compassY","compassZ","date"
5344,1553,true,false,10,'1ZVBP8CF0D5267616',88,58.43137254902,-62.28,1.0026831788759,5,37.4838495,-122.2031333,-0.56616262717077,9.65671875,-2.596201171875,-2.596201171875,-0.56616262717077,-0.812786498855,"1366482207059.2"
5344,1553,true,false,10,'1ZVBP8CF0D5267616',88,58.43137254902,-62.28,1.0026831788759,5,37.4838495,-122.2031333,-0.56616262717077,9.65671875,-2.596201171875,-2.596201171875,-0.56616262717077,-0.812786498855,"1366482207180.1"
5344,1553,true,false,10,'1ZVBP8CF0D5267616',88,58.43137254902,-60.63,1.1455117462558,5,37.4838665,-122.203086,-0.56616262717077,9.65671875,-2.596201171875,-2.596201171875,-0.56616262717077,-0.812786498855,"1366482207300.1"
5344,1553,true,false,10,'1ZVBP8CF0D5267616',88,58.43137254902,-60.63,1.1455117462558,5,37.4838665,-122.203086,-0.54694784432863,9.3884765625,-2.89318359375,-2.89318359375,-0.54694784432863,-0.82466167226293,"1366482207419.2"
5344,1553,true,false,10,'1ZVBP8CF0D5267616',88,58.43137254902,-60.63,1.1455117462558,5,37.4838665,-122.203086,-0.54694784432863,9.3884765625,-2.89318359375,-2.89318359375,-0.54694784432863,-0.82466167226293,"1366482207538.2"
5344,1553,true,false,10,'1ZVBP8CF0D5267616',88,58.43137254902,-60.63,1.1455117462558,5,37.4838665,-122.203086,-0.56626725472229,9.0819140625,-2.682421875,-2.682421875,-0.56626725472229,-0.80925506924865,"1366482207659"
5344,1553,true,false,10,'1ZVBP8CF0D5267616',88,58.43137254902,-60.63,1.1455117462558,5,37.4838665,-122.203086,-0.56626725472229,9.0819140625,-2.682421875,-2.682421875,-0.56626725472229,-0.80925506924865,"1366482207779.5"
5344,2006,true,false,19,'1ZVBP8CF0D5267616',88,58.43137254902,-60.63,1.1455117462558,5,37.4838665,-122.203086,-0.56626725472229,9.0819140625,-2.682421875,-2.682421875,-0.56626725472229,-0.80925506924865,"1366482207910.9"
5344,2006,true,false,19,'1ZVBP8CF0D5267616',88,58.43137254902,-60.63,1.1455117462558,5,37.4838665,-122.203086,-0.56231959172247,10.039921875,-3.113525390625,-3.113525390625,-0.56231959172247,-0.80929917710646,"1366482208063.7"
5344,2006,true,false,19,'1ZVBP8CF0D5267616',88,58.43137254902,-60.63,1.1455117462558,5,37.4838665,-122.203086,-0.56231959172247,10.039921875,-3.113525390625,-3.113525390625,-0.56231959172247,-0.80929917710646,"1366482208187.9"
5344,2006,true,false,19,'1ZVBP8CF0D5267616',88,58.43137254902,-59.07,1.48829372419,5,37.483869,-122.2030479,-0.58307855318701,8.574169921875,-3.04646484375,-3.04646484375,-0.58307855318701,-0.7990335728859,"1366482208316.5"
5344,2006,true,false,19,'1ZVBP8CF0D5267616',88,58.43137254902,-59.07,1.48829372419,5,37.483869,-122.2030479,-0.58307855318701,8.574169921875,-3.04646484375,-3.04646484375,-0.58307855318701,-0.7990335728859,"1366482208435"
5344,2006,true,false,19,'1ZVBP8CF0D5267616',88,58.43137254902,-59.07,1.48829372419,5,37.483869,-122.2030479,-0.56469246079045,8.574169921875,-3.04646484375,-3.04646484375,-0.56469246079045,-0.82196547381467,"1366482208557.9"
5344,2006,true,false,19,'1ZVBP8CF0D5267616',88,58.43137254902,-59.07,1.48829372419,5,37.483869,-122.2030479,-0.56469246079045,10.2315234375,-2.979404296875,-2.979404296875,-0.56469246079045,-0.82196547381467,"1366482208680"
5344,2006,true,false,19,'1ZVBP8CF0D5267616',88,58.43137254902,-59.07,1.48829372419,5,37.483869,-122.2030479,-0.56469246079045,10.2315234375,-2.979404296875,-2.979404296875,-0.56469246079045,-0.82196547381467,"1366482208798.2"
5344,2050,true,false,29,'1ZVBP8CF0D5267616',88,58.43137254902,-59.07,1.48829372419,5,37.483869,-122.2030479,-0.53440866343464,10.57640625,-2.845283203125,-2.845283203125,-0.53440866343464,-0.8419663023909,"1366482208921.3"
5344,2050,true,false,29,'1ZVBP8CF0D5267616',88,58.43137254902,-59.07,1.48829372419,5,37.483869,-122.2030479,-0.53440866343464,10.57640625,-2.845283203125,-2.845283203125,-0.53440866343464,-0.8419663023909,"1366482209050.9"
5344,2050,true,false,29,'1ZVBP8CF0D5267616',88,58.43137254902,-59.07,1.48829372419,5,37.483869,-122.2030479,-0.52754305182384,10.796748046875,-2.988984375,-2.988984375,-0.52754305182384,-0.84732783613404,"1366482209171.6"
5344,2050,true,false,29,'1ZVBP8CF0D5267616',88,58.43137254902,-57.52,1.7521542609224,5,37.4838643,-122.2030156,-0.52754305182384,10.796748046875,-2.988984375,-2.988984375,-0.52754305182384,-0.84732783613404,"1366482209290"
5344,2050,true,false,29,'1ZVBP8CF0D5267616',88,58.43137254902,-57.52,1.7521542609224,5,37.4838643,-122.2030156,-0.52754305182384,10.796748046875,-2.988984375,-2.988984375,-0.52754305182384,-0.84732783613404,"1366482209406.7"
5344,2050,true,false,29,'1ZVBP8CF0D5267616',88,58.43137254902,-57.52,1.7521542609224,5,37.4838643,-122.2030156,-0.56140917921449,10.653046875,-3.228486328125,-3.228486328125,-0.56140917921449,-0.82622482978737,"1366482209528.6"
5344,2050,true,false,29,'1ZVBP8CF0D5267616',88,58.43137254902,-57.52,1.7521542609224,5,37.4838643,-122.2030156,-0.56140917921449,10.653046875,-3.228486328125,-3.228486328125,-0.56140917921449,-0.82622482978737,"1366482209647.6"
5344,2050,true,false,29,'1ZVBP8CF0D5267616',88,58.43137254902,-57.52,1.7521542609224,5,37.4838643,-122.2030156,-0.56685424948039,8.2388671875,-3.23806640625,-3.23806640625,-0.56685424948039,-0.82249440120684,"1366482209777.4"
